,allergens,calories,caloriesFromFat,cholesterol(mg),dateRef,dietaryFiber(g),ingredients,itemID,menuDate,name,price($),protein(g),saturatedFat(g),servingSize,sodium(mg),station,sugars(g),mealType,totalCarbohydrate(g),totalFat(g),transFat(g)
10,"Milk, Eggs, Wheat, Soybeans, Gluten",573,,66.2,0,66.2,"Turkey (Turkey breast, turkey broth, contains less that 2% of salt, dextrose, potassium lactate, potassium acetate, modified food starch, carrageenan, sodium phosphate, sodium diacetate.), Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.)",16086585,0001-01-01T00:00:00,Turkey Sandwich,5.95,33.7,5.4,1 EACH,1674.1,Deli,4.7,LUNCH,62.1,199,0
11,"Milk, Eggs, Wheat, Soybeans, Gluten",491,,28.4,0,28.4,"Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Alfalfa Sprouts, Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.)",16086586,0001-01-01T00:00:00,Veggie Sandwich,4.95,17.3,5.4,1 EACH,786.6,Deli,4.7,LUNCH,58.7,192,0
12,"Milk, Eggs, Wheat, Soybeans, Gluten",632,,28.4,0,28.4,"Hummus (Garbanzo Beans, Sesame Tahini, Lemon Juice, Water, Soybean Oil, 2% or Less of: Garlic Puree (garlic, high fructose corn syrup solids), Salt, Sugar, Soy Lecithin, Cellulose, Modified Food Starch, Natural Flavors (canola oil, olive oil, natural flavors), Spices, Citric Acid.), Ciabatta Bread (Flour (bleached wheat flour, malted barley flour, niacin, iron, ascorbic acid, thiamin mononitrate, riboavin, folic acid), Water, Dried Durum Wheat Sourdough, Salt, Sugar, Less than 2% of the following: Calcium Propionate, Yeast, Ascorbic Acid, Enzymes, Calcium Sulfate. Made in a facility that processes wheat, soy, eggs, milk and tree nuts), Sliced Tomatoes (Tomatoes), Red Onion, Swiss Cheese (Milk, Cheese Culture, Salt, Enzymes.), Green Leaf Crowns (Green Leaf Lettuce), Alfalfa Sprouts, Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Mustard (Water, Distilled Vinegar, Mustard Seed, Salt, Turmeric, Oleoresin Paprika, Spices.)",16086587,0001-01-01T00:00:00,Veggie Sandwich w/ Hummus,5.95,24,6.7,1 EACH,1108.9,Deli,4.7,LUNCH,70.8,265,0
13,"Milk, Eggs, Wheat, Soybeans, Gluten",1011,,407.1,0,407.1,"Spring Mix and Romaine Mix (Romaine Lettuce, Spring Mix), Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Buttermilk Ranch Dressing (Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Ranch Mix (Salt, Dried Onion, Modified Food Starch, Sugar, Dried Garlic, Spices, Maltodextrin, Buttermilk, Dextrose, 2% or Less of: Natural and Artificial Flavors (milk, soy), Lactic Acid, Guar Gum, Disodium Inosinate, Disodium Guanylate, Calcium Stearate.)), Red Onion, Hardboiled Eggs, Bacon (Pork, Water, Salt, Sugar, Smoke Flavoring, Sodium Phosphate, Sodium Erythorbate, Flavoring, Sodium Nitrite.), Avocado, Feta Cheese (Feta Cheese (pasteurized milk, cheese cultures, salt, enzymes), Natamycin (protect flavor).), Shredded Mild Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto, Powdered Cellulose (anti-caking agent).)",16086588,0001-01-01T00:00:00,BYO Salad,6.50,72.2,21.6,1 EACH,1728.1,Picnic Basket,6,LUNCH,17.4,609,0
14,"Milk, Eggs, Wheat, Soybeans, Gluten",964,,262.8,0,262.8,"Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Spinach Tortilla (Enriched Bleached Wheat Flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Water, Vegetable Shortening (interesterified soybean oil, hydrogenated soybean and/or palm oil), 2% or Less of: Seasoning (spinach powder, onion powder, spice, salt, garlic powder, soybean oil, artificial colors [FD&C yellow #5, FD&C blue #1 lake], natural & artificial flavor), Salt, Leavening (sodium bicarbonate, sodium aluminum sulfate, corn starch, monocalcium phosphate and/or sodium acid pyrophosphate, calcium sulfate), Distilled Monoglycerides, Enzymes, Wheat Starch, Calcium Carbonate, Antioxidants (tocopherols, ascorbic acid), Cellulose Gum, Dough Conditioners (fumaric acid, sodium metabisulfite), Preservatives (calcium propionate, sorbic acid and/or citric acid).), Iceberg Lettuce, Goody's Chipotle Ranch (Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Chipotle Sauce (chipotle peppers, water, vinegar, sugar, salt, tomato paste, smoke essence, onion, garlic. Kosher), Ranch Mix (Salt, Dried Onion, Modified Food Starch, Sugar, Dried Garlic, Spices, Maltodextrin, Buttermilk, Dextrose, 2% or Less of: Natural and Artificial Flavors (milk, soy), Lactic Acid, Guar Gum, Disodium Inosinate, Disodium Guanylate, Calcium Stearate.), Oregano), Parmesan Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes.), Red Onion, Tomatoes, Cucumber, Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes, Annatto Coloring.), Hardboiled Eggs, Shredded Carrot, Avocado",16086589,0001-01-01T00:00:00,BYO Wrap,6.75,70.8,17.4,1 EACH,1732.7,Picnic Basket,7.5,LUNCH,60.4,417,0
15,"Milk, Eggs, Wheat, Soybeans, Gluten",936,,161.3,0,161.3,"Spring Mix and Romaine Mix (Romaine Lettuce, Spring Mix), Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Spinach Tortilla (Enriched Bleached Wheat Flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Water, Vegetable Shortening (interesterified soybean oil, hydrogenated soybean and/or palm oil), 2% or Less of: Seasoning (spinach powder, onion powder, spice, salt, garlic powder, soybean oil, artificial colors [FD&C yellow #5, FD&C blue #1 lake], natural & artificial flavor), Salt, Leavening (sodium bicarbonate, sodium aluminum sulfate, corn starch, monocalcium phosphate and/or sodium acid pyrophosphate, calcium sulfate), Distilled Monoglycerides, Enzymes, Wheat Starch, Calcium Carbonate, Antioxidants (tocopherols, ascorbic acid), Cellulose Gum, Dough Conditioners (fumaric acid, sodium metabisulfite), Preservatives (calcium propionate, sorbic acid and/or citric acid).), Buttermilk Ranch Dressing (Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Ranch Mix (Salt, Dried Onion, Modified Food Starch, Sugar, Dried Garlic, Spices, Maltodextrin, Buttermilk, Dextrose, 2% or Less of: Natural and Artificial Flavors (milk, soy), Lactic Acid, Guar Gum, Disodium Inosinate, Disodium Guanylate, Calcium Stearate.)), Shredded Mild Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto, Powdered Cellulose (anti-caking agent).), Tomatoes, Avocado",16086590,0001-01-01T00:00:00,California Wrap,6.75,57.9,13.8,1 EACH,1345.4,Picnic Basket,5.7,LUNCH,57.5,434,0
16,"Milk, Eggs, Fish, Wheat, Soybeans, Gluten",419,,130.2,0,130.2,"Spring Mix and Romaine Mix (Romaine Lettuce, Spring Mix), Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Caesar Dressing (Water, Vegetable Oil (soybean and/or canola oil), Whole Eggs, Parmesan Cheese (part skim cow's milk, rennet, cheese cultures, calcium cloride, salt), Corn Vinegar, Salt, Sugar, Spices, Anchovy Paste (anchovies, salt, water), Egg Yolks, Distilled Vinegar, Dehydrated Garlic, Citric Acid, Natural Flavors (soy), Lemon Juice Concentrate, Extracts of Rice, Xanthan Gum, Dehydrated Onion, Sodium Benzoate (preservative), Sodium Citrate, Calcium Disodium EDTA (protect flavor).), Tomatoes, Parmesan Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes.)",16086591,0001-01-01T00:00:00,Chicken Caesar Salad,6.50,51.4,6.6,16 OZ,1228.2,Picnic Basket,10.8,LUNCH,16.3,135,0
17,"Milk, Eggs, Fish, Wheat, Soybeans, Gluten",706,,130.2,0,130.2,"Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Spinach Tortilla (Enriched Bleached Wheat Flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Water, Vegetable Shortening (interesterified soybean oil, hydrogenated soybean and/or palm oil), 2% or Less of: Seasoning (spinach powder, onion powder, spice, salt, garlic powder, soybean oil, artificial colors [FD&C yellow #5, FD&C blue #1 lake], natural & artificial flavor), Salt, Leavening (sodium bicarbonate, sodium aluminum sulfate, corn starch, monocalcium phosphate and/or sodium acid pyrophosphate, calcium sulfate), Distilled Monoglycerides, Enzymes, Wheat Starch, Calcium Carbonate, Antioxidants (tocopherols, ascorbic acid), Cellulose Gum, Dough Conditioners (fumaric acid, sodium metabisulfite), Preservatives (calcium propionate, sorbic acid and/or citric acid).), Romaine Lettuce, Caesar Dressing (Water, Vegetable Oil (soybean and/or canola oil), Whole Eggs, Parmesan Cheese (part skim cow's milk, rennet, cheese cultures, calcium cloride, salt), Corn Vinegar, Salt, Sugar, Spices, Anchovy Paste (anchovies, salt, water), Egg Yolks, Distilled Vinegar, Dehydrated Garlic, Citric Acid, Natural Flavors (soy), Lemon Juice Concentrate, Extracts of Rice, Xanthan Gum, Dehydrated Onion, Sodium Benzoate (preservative), Sodium Citrate, Calcium Disodium EDTA (protect flavor).), Parmesan Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes.), Tomatoes",16086592,0001-01-01T00:00:00,Chicken Caesar Wrap,6.75,60.8,9.3,1 EACH,1938.8,Picnic Basket,14,LUNCH,64.7,209,0
18,"Milk, Eggs, Soybeans",849,,377.4,0,377.4,"Spring Mix and Romaine Mix (Romaine Lettuce, Spring Mix), Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Buttermilk Ranch Dressing (Buttermilk (Cultured Nonfat Milk, Milk, Guar Gum. Carrageenan, Sodium Citrate, Vitamin A Palmitate, Vitamin D3.), Mayonnaise (Soybean Oil, Corn Syrup, Water, Whole Egg, Egg Yolks, Distilled Vinegar, Contains less than 2% of Mustard Seed, Salt, Lemon Juice Concentrate, Calcium Disodium EDTA added To Protect Flavor. ), Ranch Mix (Salt, Dried Onion, Modified Food Starch, Sugar, Dried Garlic, Spices, Maltodextrin, Buttermilk, Dextrose, 2% or Less of: Natural and Artificial Flavors (milk, soy), Lactic Acid, Guar Gum, Disodium Inosinate, Disodium Guanylate, Calcium Stearate.)), Hardboiled Eggs, Bacon (Pork, Water, Salt, Sugar, Smoke Flavoring, Sodium Phosphate, Sodium Erythorbate, Flavoring, Sodium Nitrite.), Blue Cheese (Blue Cheese (pasteurized milk, cheese cultures, salt, enzymes), Powdered Cellulose (to prevent caking), Natamycin (mold inhibitor).), Tomatoes",16086593,0001-01-01T00:00:00,Cobb Salad,6.50,66.1,15.7,16 OZ,1616.9,Picnic Basket,2.9,LUNCH,9.8,496,0
19,"Wheat, Soybeans, Gluten",628,,108.6,0,108.6,"Spring Mix and Romaine Mix (Romaine Lettuce, Spring Mix), Smoked Chicken Breast (Boneless, skinless chicken breast filets with rib meat, water, seasoning [maltodextrin, salt, sugar, chicken stock, vegetable stock (carrot, onion, celery), flavors, carrot powder and garlic powder], modified food starch, sodium phosphates, soy protein concentrate, sea salt. ), Sesame Ginger Dressing (Filtered Water, Organic Soybean Oil, Organic Sugar, Organic White Vinegar, Organic Tamari Sauce (water, organic soybeans, salt, organic alcohol), Organic Sesame oil, Salt, Organic Garlic Puree, Organic Onion Powder, Organic Mustard Seed, Organic Ginger Powder, Organic Sesame Seeds, Organic Malt, Organic Ginger Extract, Xanthan Gum (thickener).), Mandarin Oranges (Mandarin Oranges, Water, Sugar, Citric Acid.), Cucumber, Wonton Strips (Enriched Flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), Vegetable Oil (soybean and/or cottonseed oil), Water, Cornstarch, Salt, Preserved with less than 0.1% of: Potassium Sorbate, Sodium Benzoate.), Shredded Carrot",16086594,0001-01-01T00:00:00,Mandarin Salad,6.50,44.1,6.3,16 OZ,709,Picnic Basket,22,LUNCH,46.8,261,0
